Elevation,Date,Method,Site,Genus,Sp,CTmin,CTmax
NA,2022,M2,Tatama,Anolis,antonii,11.8,29.5
NA,2022,M2,Tatama,Anolis,antonii,13.2,34
NA,2022,M2,Tatama,Anolis,antonii,11.2,34.6
NA,2022,M2,Tatama,Anolis,antonii,11.2,34.2
NA,2022,M2,Tatama,Anolis,ventrimaculatus,12.05,29.8
NA,2022,M2,Tatama,Anolis,ventrimaculatus,9.9,29.7
NA,2022,M2,Tatama,Anolis,danieli,11.7,34.4
NA,2022,M2,Tatama,Anolis,ventrimaculatus,10.6,33.9
NA,2022,M2,Tatama,Anolis,ventrimaculatus,12.4,33
NA,2022,M2,Tatama,Anolis,antonii,9.7,32
NA,2022,M2,Tatama,Anolis,ventrimaculatus,13.3,30.6
NA,2022,M2,Tatama,Anolis,danieli,12.5,32.5
NA,2022,M2,Tatama,Anolis,danieli,15.8,33.5
NA,2022,M2,Tatama,Anolis,ventrimaculatus,10.2,31.7
NA,2022,M2,Tatama,Anolis,ventrimaculatus,6.8,30.4
NA,2022,M2,Tatama,Anolis,ventrimaculatus,15.3,30.2
NA,2022,M2,Tatama,Anolis,danieli,14,33.1
NA,2022,M2,Tatama,Anolis,antonii,11.7,28.7
NA,2022,M2,Zygia,Anolis,heterodermus,5.2,34.4
NA,2022,M2,Zygia,Anolis,ventrimaculatus,12.4,29.4
NA,2022,M2,Zygia,Anolis,ventrimaculatus,10.5,32.7
NA,2022,M2,Zygia,Anolis,heterodermus,5.2,34
NA,2022,M2,Zygia,Anolis,heterodermus,5.8,35.5
NA,2022,M2,Zygia,Anolis,ventrimaculatus,NA,32.4
NA,2022,M2,Zygia,Anolis,ventrimaculatus,11,32.6
NA,2022,M2,Zygia,Anolis,ventrimaculatus,9.2,28
NA,2022,M2,Zygia,Anolis,ventrimaculatus,9.1,32.8
NA,2022,M2,Zygia,Anolis,sp,6.8,35.1
NA,2022,M2,Zygia,Anolis,ventrimaculatus,11.6,31
NA,2022,M2,Zygia,Anolis,antonii,8.9,32.3
NA,2022,M2,Zygia,Anolis,antonii,11.5,31.2
NA,2022,M2,Zygia,Anolis,antonii,10.5,30.8
NA,2022,M2,Zygia,Anolis,heterodermus,2.9,33.1
NA,2022,M2,Zygia,Anolis,antonii,8.8,29.1
NA,2022,M2,Zygia,Anolis,antonii,9.8,31.2
NA,2022,M2,Zygia,Anolis,antonii,10.9,28.9
NA,2022,M2,Zygia,Anolis,antonii,9.2,32.6
NA,2022,M2,Zygia,Anolis,antonii,9.8,30.7
NA,2022,M2,Zygia,Anolis,antonii,4.1,31.7
NA,2022,M2,Zygia,Anolis,calimae,10.6,33.1
NA,2022,M2,Zygia,Anolis,antonii,13.5,32
NA,2022,M2,Zygia,Anolis,antonii,7.9,32
2274,2022,M2,Zygia,Anolis,ventrimaculatus,8.8,29.8
2305,2022,M2,Zygia,Anolis,heterodermus,2.5,35.4
2347,2022,M2,Zygia,Anolis,ventrimaculatus,9.6,29.7
2263,2022,M2,Zygia,Anolis,ventrimaculatus,9,33.8
2315,2022,M2,Zygia,Anolis,heterodermus,3.2,36
2276,2022,M2,Zygia,Anolis,ventrimaculatus,7.1,31.6
2244,2022,M2,Zygia,Anolis,ventrimaculatus,8.5,31.2
2310,2022,M2,Zygia,Anolis,calimae,10.6,32.9
2265,2022,M2,Zygia,Anolis,ventrimaculatus,12.2,30.5
2230,2022,M2,Zygia,Anolis,ventrimaculatus,13.9,29.6
2230,2022,M2,Zygia,Anolis,ventrimaculatus,9.3,30.7
2230,2022,M2,Zygia,Anolis,ventrimaculatus,11.5,32.5
2210,2022,M2,Zygia,Anolis,ventrimaculatus,13.1,31.8
2210,2022,M2,Zygia,Anolis,ventrimaculatus,11.7,31.1
2210,2022,M2,Zygia,Anolis,ventrimaculatus,9.4,33.6
2210,2022,M2,Zygia,Anolis,ventrimaculatus,11.9,32
2216,2022,M2,Zygia,Anolis,ventrimaculatus,10.8,32.2
2216,2022,M2,Zygia,Anolis,ventrimaculatus,9.2,32.5
2216,2022,M2,Zygia,Anolis,ventrimaculatus,8.6,32.2
2216,2022,M2,Zygia,Anolis,ventrimaculatus,7.1,31.2
2210,2022,M2,Zygia,Anolis,sp,8.1,31.2
2216,2022,M2,Zygia,Anolis,ventrimaculatus,12,34.1
2216,2022,M2,Zygia,Anolis,antonii,9.9,31
2216,2022,M2,Zygia,Anolis,ventrimaculatus,8.6,32.4
2216,2022,M2,Zygia,Anolis,ventrimaculatus,8.6,32.5
2216,2022,M2,Zygia,Anolis,ventrimaculatus,9.8,29.7
2216,2022,M2,Zygia,Anolis,ventrimaculatus,8.8,33.2
2216,2022,M2,Zygia,Anolis,ventrimaculatus,8.3,33.3
2216,2022,M2,Zygia,Anolis,ventrimaculatus,8.2,28.3
2216,2022,M2,Zygia,Anolis,ventrimaculatus,7.2,32.8
2216,2022,M2,Zygia,Anolis,ventrimaculatus,8.5,33.8
2216,2022,M2,Zygia,Anolis,ventrimaculatus,10.4,31.2
2216,2022,M2,Zygia,Anolis,ventrimaculatus,11.4,32.5
2216,2022,M2,Zygia,Anolis,ventrimaculatus,8.8,33.1
2191,2022,M2,Zygia,Anolis,ventrimaculatus,10.1,31.1
2191,2022,M2,Zygia,Anolis,ventrimaculatus,12.7,30.5
2191,2022,M2,Zygia,Anolis,ventrimaculatus,10.9,32.3
2191,2022,M2,Zygia,Anolis,ventrimaculatus,11.4,33.3
2178,2022,M2,Zygia,Anolis,ventrimaculatus,10.3,32.2
2178,2022,M2,Zygia,Anolis,ventrimaculatus,10.3,30.6
2178,2022,M2,Zygia,Anolis,ventrimaculatus,11.3,32.5
2178,2022,M2,Zygia,Anolis,ventrimaculatus,6.9,31.4
2188,2022,M2,Zygia,Anolis,sp,6.8,30.7
2178,2022,M2,Zygia,Anolis,antonii,9.1,33.2
2178,2022,M2,Zygia,Anolis,ventrimaculatus,13.1,31.2
2191,2022,M2,Zygia,Anolis,ventrimaculatus,14.3,31.8
2191,2022,M2,Zygia,Anolis,ventrimaculatus,10,31.4
2191,2022,M2,Zygia,Anolis,ventrimaculatus,13.8,29.2
2191,2022,M2,Zygia,Anolis,ventrimaculatus,11,31
2163,2022,M2,Zygia,Anolis,ventrimaculatus,10.2,33.1
2163,2022,M2,Zygia,Anolis,ventrimaculatus,14.9,32.7
2148,2022,M2,Zygia,Anolis,ventrimaculatus,10.6,31.3
2148,2022,M2,Zygia,Anolis,antonii,8.8,34
2148,2022,M2,Zygia,Anolis,antonii,9.7,31.1
2163,2022,M2,Zygia,Anolis,ventrimaculatus,9.5,30.1
2190,2022,M2,Zygia,Anolis,antonii,8.1,30.6
2163,2022,M2,Zygia,Anolis,ventrimaculatus,9.7,28.6
2163,2022,M2,Zygia,Anolis,ventrimaculatus,11.1,30.7
2184,2022,M2,Zygia,Anolis,antonii,11.2,26.6
2184,2022,M2,Zygia,Anolis,antonii,7.7,34.8
2182,2022,M2,Zygia,Anolis,antonii,7.1,32.4
2163,2022,M2,Zygia,Anolis,ventrimaculatus,9.3,32
2163,2022,M2,Zygia,Anolis,ventrimaculatus,9.7,30.1
2163,2022,M2,Zygia,Anolis,ventrimaculatus,12.1,32.3
2173,2022,M2,Zygia,Anolis,antonii,9.3,28.4
2176,2022,M2,Zygia,Anolis,antonii,11.5,31.3
2179,2022,M2,Zygia,Anolis,antonii,9.5,32.2
2163,2022,M2,Zygia,Anolis,ventrimaculatus,9.5,30.7
2171,2022,M2,Zygia,Anolis,antonii,10.5,31.5
2148,2022,M2,Zygia,Anolis,antonii,10.3,30.8
2170,2022,M2,Zygia,Anolis,antonii,10,31.3
2154,2022,M2,Zygia,Anolis,heterodermus,4.9,34.4
2163,2022,M2,Zygia,Anolis,ventrimaculatus,14.2,30.3
2148,2022,M2,Zygia,Anolis,antonii,10.7,27.8
2163,2022,M2,Zygia,Anolis,antonii,12.1,31
2154,2022,M2,Zygia,Anolis,ventrimaculatus,12.4,32.1
2154,2022,M2,Zygia,Anolis,ventrimaculatus,6.7,32.2
2154,2022,M2,Zygia,Anolis,ventrimaculatus,13.2,28
2154,2022,M2,Zygia,Anolis,ventrimaculatus,8.8,31.8
2154,2022,M2,Zygia,Anolis,ventrimaculatus,9,31.4
2154,2022,M2,Zygia,Anolis,ventrimaculatus,8.8,30.9
2154,2022,M2,Zygia,Anolis,ventrimaculatus,10.6,28.9
2154,2022,M2,Zygia,Anolis,ventrimaculatus,10.7,32.3
2154,2022,M2,Zygia,Anolis,ventrimaculatus,11.2,29.3
2154,2022,M2,Zygia,Anolis,ventrimaculatus,8,32.2
2154,2022,M2,Zygia,Anolis,ventrimaculatus,10.3,29.3
2125,2022,M2,Zygia,Anolis,ventrimaculatus,11.3,32.4
2125,2022,M2,Zygia,Anolis,ventrimaculatus,15,30.9
2106,2022,M2,Zygia,Anolis,calimae,9.9,33.4
2131,2022,M2,Zygia,Anolis,ventrimaculatus,9.5,29.7
2125,2022,M2,Zygia,Anolis,ventrimaculatus,9.8,33.5
2125,2022,M2,Zygia,Anolis,ventrimaculatus,8.5,31.5
2116,2022,M2,Zygia,Anolis,antonii,9.9,32.6
2125,2022,M2,Zygia,Anolis,ventrimaculatus,8.7,31.7
2122,2022,M2,Zygia,Anolis,ventrimaculatus,8.1,33.8
2125,2022,M2,Zygia,Anolis,ventrimaculatus,9.8,27.6
2131,2022,M2,Zygia,Anolis,ventrimaculatus,10.4,30.6
2004,2022,M2,La Minga,Anolis,ventrimaculatus,10.3,29.3
2000,2022,M2,La Minga,Anolis,ventrimaculatus,13.4,33
2005,2022,M2,La Minga,Anolis,ventrimaculatus,8.9,32.2
2010,2022,M2,La Minga,Anolis,ventrimaculatus,9.5,32.2
2006,2022,M2,La Minga,Anolis,ventrimaculatus,11.6,28.9
1997,2022,M2,La Minga,Anolis,ventrimaculatus,10.3,31.4
1997,2022,M2,La Minga,Anolis,ventrimaculatus,12.1,30.9
1997,2022,M2,La Minga,Anolis,ventrimaculatus,10.4,33
1998,2022,M2,La Minga,Anolis,ventrimaculatus,8.5,33.4
2009,2022,M2,La Minga,Anolis,ventrimaculatus,12,31.6
2010,2022,M2,La Minga,Anolis,ventrimaculatus,12.3,28.1
2010,2022,M2,La Minga,Anolis,ventrimaculatus,10.3,31.9
1998,2022,M2,La Minga,Anolis,calimae,9.7,31.7
1974,2022,M2,La Minga,Anolis,ventrimaculatus,8.6,29.8
1974,2022,M2,La Minga,Anolis,ventrimaculatus,10.2,27.3
1998,2022,M2,La Minga,Anolis,ventrimaculatus,10.6,29.5
2015,2022,M2,La Minga,Anolis,ventrimaculatus,10.1,31.3
2016,2022,M2,La Minga,Anolis,ventrimaculatus,8.3,30
2019,2022,M2,La Minga,Anolis,ventrimaculatus,11,31.1
2019,2022,M2,La Minga,Anolis,ventrimaculatus,8.7,30.3
2023,2022,M2,La Minga,Anolis,ventrimaculatus,12.9,28
2023,2022,M2,La Minga,Anolis,ventrimaculatus,9.8,29.7
2025,2022,M2,La Minga,Anolis,ventrimaculatus,7.2,30.9
2028,2022,M2,La Minga,Anolis,ventrimaculatus,10.5,30.4
2029,2022,M2,La Minga,Anolis,ventrimaculatus,14.2,29.3
2027,2022,M2,La Minga,Anolis,ventrimaculatus,11.3,31.1
2029,2022,M2,La Minga,Anolis,ventrimaculatus,9.8,31.4
2029,2022,M2,La Minga,Anolis,ventrimaculatus,6.6,33
2027,2022,M2,La Minga,Anolis,ventrimaculatus,8.5,37.7
2032,2022,M2,La Minga,Anolis,ventrimaculatus,8.9,32.4
2034,2022,M2,La Minga,Anolis,ventrimaculatus,9.7,33.6
2034,2022,M2,La Minga,Anolis,ventrimaculatus,7.9,30
2033,2022,M2,La Minga,Anolis,ventrimaculatus,7.3,30.4
2032,2022,M2,La Minga,Anolis,ventrimaculatus,12.5,32.6
2031,2022,M2,La Minga,Anolis,ventrimaculatus,9.1,29
2032,2022,M2,La Minga,Anolis,ventrimaculatus,9.5,31
2033,2022,M2,La Minga,Anolis,ventrimaculatus,10.6,32.3
2033,2022,M2,La Minga,Anolis,ventrimaculatus,12.7,28.5
29,2022,M2,La Sierpe,Anolis,maculiventris,14.1,33.3
15,2022,M2,La Sierpe,Anolis,lyra,12.7,33.5
27,2022,M2,La Sierpe,Anolis,maculiventris,16.3,35
33,2022,M2,La Sierpe,Anolis,maculiventris,15.2,35
33,2022,M2,La Sierpe,Anolis,maculiventris,14.1,35.1
8,2022,M2,La Sierpe,Anolis,maculiventris,13.4,33.3
23,2022,M2,La Sierpe,Anolis,princeps,13.2,33.4
81,2022,M2,La Sierpe,Anolis,biporcatus,13.6,34.5
52,2022,M2,La Sierpe,Anolis,princeps,14.1,32
18,2022,M2,La Sierpe,Anolis,princeps,14,35.6
18,2022,M2,La Sierpe,Anolis,maculiventris,17.1,33.2
20,2022,M2,La Sierpe,Anolis,maculiventris,14.2,35.3
19,2022,M2,La Sierpe,Anolis,anchicayae,13.8,35.8
28,2022,M2,La Sierpe,Anolis,maculiventris,14.3,35.5
28,2022,M2,La Sierpe,Anolis,maculiventris,NA,NA
28,2022,M2,La Sierpe,Anolis,princeps,13.9,35.4
27,2022,M2,La Sierpe,Anolis,princeps,11.8,32.9
40,2022,M2,La Sierpe,Anolis,lyra,15.3,35.8
14,2022,M2,La Sierpe,Anolis,lyra,13.8,35.6
18,2022,M2,La Sierpe,Anolis,maculiventris,14.5,34.3
1460,2022,M2,Tatama,Anolis,maculigula,10.1,29.8
1458,2022,M2,Tatama,Anolis,ventrimaculatus,11.6,31.1
1460,2022,M2,Tatama,Anolis,maculigula,9.8,26.9
1470,2022,M2,Tatama,Anolis,maculigula,12.5,29
1478,2022,M2,Tatama,Anolis,maculigula,11.5,30.5
1450,2022,M2,Tatama,Anolis,ventrimaculatus,10.3,31.6
1450,2022,M2,Tatama,Anolis,maculigula,10.7,31.1
1446,2022,M2,Tatama,Anolis,antonii,9.6,31.1
1432,2022,M2,Tatama,Anolis,maculigula,13.1,30.5
1445,2022,M2,Tatama,Anolis,antonii,10.9,32
1430,2022,M2,Tatama,Anolis,maculigula,11.6,31.4
1430,2022,M2,Tatama,Anolis,maculigula,14.6,30.7
1418,2022,M2,Tatama,Anolis,ventrimaculatus,8.8,29.9
1420,2022,M2,Tatama,Anolis,maculigula,10.1,34
1412,2022,M2,Tatama,Anolis,maculigula,9.9,32
1413,2022,M2,Tatama,Anolis,maculigula,10.1,33.1
1327,2022,M2,Tatama,Anolis,maculigula,10.3,29.4
1416,2022,M2,Tatama,Anolis,antonii,14.3,31.3
1325,2022,M2,Tatama,Anolis,maculigula,11.7,30
1322,2022,M2,Tatama,Anolis,maculigula,12.3,32.1
1377,2022,M2,Tatama,Anolis,ventrimaculatus,10,30.3
1319,2022,M2,Tatama,Anolis,maculigula,9.8,30.4
1319,2022,M2,Tatama,Anolis,maculigula,9.8,29.8
1316,2022,M2,Tatama,Anolis,maculigula,13.5,30
1374,2022,M2,Tatama,Anolis,antonii,9.9,33.8
1345,2022,M2,Tatama,Anolis,antonii,12.5,30.9
1335,2022,M2,Tatama,Anolis,antonii,10.4,34.9
1409,2022,M2,Tatama,Anolis,antonii,15.8,31.2
1448,2022,M2,Tatama,Anolis,chloris,13.5,32.4
1447,2022,M2,Tatama,Anolis,chloris,13,31.5
1442,2022,M2,Tatama,Anolis,chloris,12.9,32.3
1364,2022,M2,Tatama,Anolis,ibanezi,9.3,32.4
1380,2022,M2,Tatama,Anolis,antonii,14.2,33.5
1352,2022,M2,Tatama,Anolis,latifrons,11.2,34.5
1333,2022,M2,Tatama,Anolis,antonii,11.4,32.1
1333,2022,M2,Tatama,Anolis,antonii,9.5,33.4
1341,2022,M2,Tatama,Anolis,antonii,9.9,33.7
1392,2022,M2,Tatama,Anolis,antonii,NA,NA
1394,2022,M2,Tatama,Anolis,antonii,9.8,30
1394,2022,M2,Tatama,Anolis,antonii,9.7,33.3
1395,2022,M2,Tatama,Anolis,antonii,13.2,32.2
1396,2022,M2,Tatama,Anolis,antonii,12.4,31.9
1395,2022,M2,Tatama,Anolis,antonii,8.9,33.7
1374,2022,M2,Tatama,Anolis,ibanezi,15.7,34.8
1298,2022,M2,Tatama,Anolis,antonii,15.6,35.7
1303,2022,M2,Tatama,Anolis,antonii,9.4,33.1
1328,2022,M2,Tatama,Anolis,antonii,15.7,NA
1396,2022,M2,Tatama,Anolis,antonii,8.6,31.6
1416,2022,M2,Tatama,Anolis,antonii,11.3,32.8
1395,2022,M2,Tatama,Anolis,antonii,11.4,29.3
1396,2022,M2,Tatama,Anolis,antonii,11.9,30.9
1396,2022,M2,Tatama,Anolis,antonii,7.5,32.1
1395,2022,M2,Tatama,Anolis,antonii,14.8,30.9
1333,2022,M2,Tatama,Anolis,antonii,14.6,32.8
1394,2022,M2,Tatama,Anolis,antonii,12.7,33.4
1436,2022,M2,Tatama,Anolis,antonii,11.5,33.5
1393,2022,M2,Tatama,Anolis,antonii,13.6,33.5
1329,2022,M2,Tatama,Anolis,antonii,10.4,34.1
1382,2022,M2,Tatama,Anolis,antonii,13.8,32.4
1429,2022,M2,Tatama,Anolis,antonii,14.5,31.3
1428,2022,M2,Tatama,Anolis,antonii,10.6,33.5
1415,2022,M2,Tatama,Anolis,antonii,9.5,32.1
1390,2022,M2,Tatama,Anolis,antonii,10.9,31.5
1390,2022,M2,Tatama,Anolis,antonii,8,30.4
1391,2022,M2,Tatama,Anolis,antonii,11.2,34.2
1429,2022,M2,Tatama,Anolis,antonii,NA,NA
1388,2022,M2,Tatama,Anolis,antonii,12.1,28.6
1388,2022,M2,Tatama,Anolis,antonii,10.5,32.2
1388,2022,M2,Tatama,Anolis,antonii,14.3,32.6
1367,2022,M2,Tatama,Anolis,antonii,12.9,33.5
1343,2022,M2,Tatama,Anolis,antonii,18.8,31.6
1348,2022,M2,Tatama,Anolis,antonii,15.7,33.5
1347,2022,M2,Tatama,Anolis,antonii,12.3,28.9
1346,2022,M2,Tatama,Anolis,latifrons,16.9,30.6
1347,2022,M2,Tatama,Anolis,antonii,8.7,34
1348,2022,M2,Tatama,Anolis,antonii,12.3,34.1
1384,2022,M2,Tatama,Anolis,latifrons,8.6,32.6
1349,2022,M2,Tatama,Anolis,antonii,11.2,33.6
1351,2022,M2,Tatama,Anolis,antonii,12.5,32.8
1351,2022,M2,Tatama,Anolis,antonii,10.1,33.9
1351,2022,M2,Tatama,Anolis,antonii,10.5,34
1352,2022,M2,Tatama,Anolis,antonii,9.8,34.4
1384,2022,M2,Tatama,Anolis,antonii,12.6,34
1301,2022,M2,Tatama,Anolis,antonii,11.7,33.9
1361,2022,M2,Tatama,Anolis,antonii,11.3,33.4
1361,2022,M2,Tatama,Anolis,antonii,10.6,34.1
1363,2022,M2,Tatama,Anolis,antonii,8.6,32.2
1378,2022,M2,Tatama,Anolis,antonii,15.6,32.6
1358,2022,M2,Tatama,Anolis,antonii,9.2,34.2
1365,2022,M2,Tatama,Anolis,latifrons,11.2,32.7
1358,2022,M2,Tatama,Anolis,antonii,10.1,34.2
1378,2022,M2,Tatama,Anolis,antonii,9.7,33.6
1375,2022,M2,Tatama,Anolis,latifrons,13.4,32.6
1376,2022,M2,Tatama,Anolis,antonii,12.1,33.4
1375,2022,M2,Tatama,Anolis,antonii,11.3,34.6
1364,2022,M2,Tatama,Anolis,antonii,7.2,35.4
1365,2022,M2,Tatama,Anolis,antonii,9.2,33.1
1358,2022,M2,Tatama,Anolis,antonii,11.6,32.2
1375,2022,M2,Tatama,Anolis,ibanezi,11.3,33.6
1372,2022,M2,Tatama,Anolis,antonii,11.3,34.1
1375,2022,M2,Tatama,Anolis,antonii,11.3,32.4
1344,2022,M2,Tatama,Anolis,antonii,14.4,34.4
1455,2022,M2,Tatama,Anolis,latifrons,9.2,32.5
1338,2022,M2,Tatama,Anolis,antonii,17.6,32.8
1334,2022,M2,Tatama,Anolis,antonii,13.1,34.6
1325,2022,M2,Tatama,Anolis,antonii,12.3,34.1
1339,2022,M2,Tatama,Anolis,antonii,13.2,31.6
1365,2022,M2,Tatama,Anolis,antonii,12,31
1365,2022,M2,Tatama,Anolis,antonii,9.8,33.8
1366,2022,M2,Tatama,Anolis,antonii,10.6,34.1
1533,2022,M2,Tatama,Anolis,ventrimaculatus,10.8,33.3
1537,2022,M2,Tatama,Anolis,ventrimaculatus,13.5,33.9
1536,2022,M2,Tatama,Anolis,ventrimaculatus,9.6,33.2
1540,2022,M2,Tatama,Anolis,ventrimaculatus,9,33.8
1530,2022,M2,Tatama,Anolis,ventrimaculatus,13.1,32.2
1532,2022,M2,Tatama,Anolis,ventrimaculatus,8.4,30.3
1528,2022,M2,Tatama,Anolis,ventrimaculatus,9,33.4
1528,2022,M2,Tatama,Anolis,ventrimaculatus,13.1,33.1
1553,2022,M2,Tatama,Anolis,ventrimaculatus,10.9,32.8
1553,2022,M2,Tatama,Anolis,antonii,13.3,33.8
1379,2022,M2,Tatama,Anolis,antonii,11.4,33.3
1562,2022,M2,Tatama,Anolis,ventrimaculatus,12.6,32.4
1534,2022,M2,Tatama,Anolis,ventrimaculatus,8.8,31
1579,2022,M2,Tatama,Anolis,ventrimaculatus,10.6,31.7
1314,2022,M2,Tatama,Anolis,antonii,13.6,34.5
1570,2022,M2,Tatama,Anolis,ventrimaculatus,8.7,32.5
1583,2022,M2,Tatama,Anolis,ventrimaculatus,9.6,32.6
1374,2022,M2,Tatama,Anolis,antonii,13.8,32.3
1373,2022,M2,Tatama,Anolis,antonii,15.3,32.4
1372,2022,M2,Tatama,Anolis,antonii,15,35.8
1609,2022,M2,Tatama,Anolis,ventrimaculatus,12.9,31.8
1644,2022,M2,Tatama,Anolis,ventrimaculatus,10.8,33.7
1634,2022,M2,Tatama,Anolis,ventrimaculatus,11.9,33.4
1619,2022,M2,Tatama,Anolis,ventrimaculatus,11.5,33.4
1628,2022,M2,Tatama,Anolis,ventrimaculatus,9.8,32
1357,2022,M2,Tatama,Anolis,antonii,10.5,32.9
1632,2022,M2,Tatama,Anolis,ventrimaculatus,12.7,32.8
1632,2022,M2,Tatama,Anolis,ventrimaculatus,10.4,32.3
1782,2022,M2,Tatama,Anolis,ventrimaculatus,11.6,33.9
1783,2022,M2,Tatama,Anolis,antonii,15.6,33.7
1784,2022,M2,Tatama,Anolis,ventrimaculatus,13.8,33.1
1783,2022,M2,Tatama,Anolis,antonii,9.8,33.1
1786,2022,M2,Tatama,Anolis,antonii,12.7,33.7
1786,2022,M2,Tatama,Anolis,ventrimaculatus,10,31.6
1720,2022,M2,Tatama,Anolis,ventrimaculatus,8.3,33.6
1644,2022,M2,Tatama,Anolis,ventrimaculatus,9,32.8
1742,2022,M2,Tatama,Anolis,ventrimaculatus,7.9,33.8
1649,2022,M2,Tatama,Anolis,antonii,8.4,33.6
1342,2022,M2,Tatama,Anolis,antonii,10.5,33.9
1659,2022,M2,Tatama,Anolis,ventrimaculatus,10.8,32.3
1663,2022,M2,Tatama,Anolis,ventrimaculatus,9.9,31.1
1270,2022,M2,Tatama,Anolis,granuliceps,NA,31.7
1288,2022,M2,Tatama,Anolis,antonii,14.8,24.6
1961,2022,M2,Tatama,Anolis,danieli,13,32
2304,2017,M1,Zygia,Anolis,ventrimaculatus,NA,NA
1330,2016,M1,Tatama,Anolis,antonii,11.25,32.29
2818,2017,M1,Tabio,Anolis,heterodermus,3.71,34.46
1345,2017,M1,Tatama,Anolis,heterodermus,10.45,30.64
1345,2017,M1,Tatama,Anolis,chloris,11.24,32.96
